Start Time, Thu Jan 1 00:00:00 GMT+0000 2009,,
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s),172800,,
Real Time (s),172808.1813,,
Elapsed Computational,0,,
Spectrum,,,
Channel, Energy (keV), Counts,
1337,1337,69,
1338,1338,70,
1339,1339,59,
1340,1340,62,
1341,1341,78,
1342,1342,78,
1343,1343,54,
1344,1344,73,
1345,1345,68,
1346,1346,58,
1347,1347,63,
1348,1348,77,
1349,1349,59,
1350,1350,76,
1351,1351,74,
1352,1352,59,
1353,1353,55,
1354,1354,63,
1355,1355,71,
1356,1356,67,
1357,1357,57,
1358,1358,64,
1359,1359,73,
1360,1360,86,
1361,1361,72,
1362,1362,60,
1363,1363,62,
1364,1364,74,
1365,1365,59,
1366,1366,64,
1367,1367,58,
1368,1368,59,
1369,1369,63,
1370,1370,68,
1371,1371,49,
1372,1372,72,
1373,1373,69,
1374,1374,82,
1375,1375,69,
1376,1376,69,
1377,1377,65,
1378,1378,81,
1379,1379,50,
1380,1380,59,
1381,1381,51,
1382,1382,72,
1383,1383,62,
1384,1384,56,
1385,1385,55,
1386,1386,56,
1387,1387,75,
1388,1388,68,
1389,1389,54,
1390,1390,62,
1391,1391,60,
1392,1392,52,
1393,1393,68,
1394,1394,58,
1395,1395,57,
1396,1396,52,
1397,1397,62,
1398,1398,73,
1399,1399,65,
1400,1400,59,
1401,1401,65,
1402,1402,64,
1403,1403,51,
1404,1404,77,
1405,1405,67,
1406,1406,64,
1407,1407,73,
1408,1408,53,
1409,1409,78,
1410,1410,59,
1411,1411,60,
1412,1412,76,
1413,1413,59,
1414,1414,60,
1415,1415,73,
1416,1416,71,
1417,1417,81,
1418,1418,65,
1419,1419,69,
1420,1420,73,
1421,1421,62,
1422,1422,63,
1423,1423,64,
1424,1424,73,
1425,1425,82,
1426,1426,82,
1427,1427,72,
1428,1428,63,
1429,1429,76,
1430,1430,77,
1431,1431,73,
1432,1432,59,
1433,1433,70,
1434,1434,80,
1435,1435,62,
1436,1436,75,
1437,1437,62,
1438,1438,75,
1439,1439,73,
1440,1440,65,
1441,1441,72,
1442,1442,65,
1443,1443,79,
1444,1444,75,
1445,1445,68,
1446,1446,78,
1447,1447,86,
1448,1448,71,
1449,1449,78,
1450,1450,76,
1451,1451,74,
1452,1452,62,
1453,1453,81,
1454,1454,72,
1455,1455,81,
1456,1456,69,
1457,1457,83,
1458,1458,75,
1459,1459,80,
1460,1460,94,
1461,1461,83,
1462,1462,69,
1463,1463,93,
1464,1464,83,
1465,1465,76,
1466,1466,92,
1467,1467,75,
1468,1468,104,
1469,1469,76,
1470,1470,78,
1471,1471,85,
1472,1472,81,
1473,1473,82,
1474,1474,81,
1475,1475,90,
1476,1476,95,
1477,1477,87,
1478,1478,95,
1479,1479,86,
1480,1480,91,
1481,1481,104,
1482,1482,81,
1483,1483,104,
1484,1484,88,
1485,1485,90,
1486,1486,96,
1487,1487,106,
1488,1488,108,
1489,1489,102,
1490,1490,98,
1491,1491,96,
1492,1492,80,
1493,1493,102,
1494,1494,97,
1495,1495,106,
1496,1496,105,
1497,1497,92,
1498,1498,93,
1499,1499,95,
1500,1500,92,
1501,1501,100,
1502,1502,93,
1503,1503,115,
1504,1504,92,
1505,1505,100,
1506,1506,114,
1507,1507,95,
1508,1508,134,
1509,1509,100,
1510,1510,104,
1511,1511,107,
1512,1512,115,
1513,1513,97,
1514,1514,113,
1515,1515,101,
1516,1516,92,
1517,1517,88,
1518,1518,92,
1519,1519,95,
1520,1520,84,
1521,1521,89,
1522,1522,102,
1523,1523,96,
1524,1524,82,
1525,1525,93,
1526,1526,90,
1527,1527,86,
1528,1528,100,
1529,1529,95,
1530,1530,75,
1531,1531,98,
1532,1532,85,
1533,1533,91,
1534,1534,82,
1535,1535,67,
1536,1536,75,
1537,1537,74,
1538,1538,100,
1539,1539,74,
1540,1540,86,
1541,1541,81,
1542,1542,81,
1543,1543,63,
1544,1544,72,
1545,1545,52,
1546,1546,70,
1547,1547,73,
1548,1548,69,
1549,1549,74,
1550,1550,59,
1551,1551,52,
1552,1552,57,
1553,1553,58,
1554,1554,76,
1555,1555,50,
1556,1556,57,
1557,1557,65,
1558,1558,52,
1559,1559,58,
1560,1560,59,
1561,1561,63,
1562,1562,42,
1563,1563,45,
1564,1564,52,
1565,1565,49,
1566,1566,58,
1567,1567,40,
1568,1568,42,
1569,1569,46,
1570,1570,52,
1571,1571,44,
1572,1572,61,
1573,1573,59,
1574,1574,47,
1575,1575,58,
1576,1576,51,
1577,1577,55,
1578,1578,47,
1579,1579,46,
1580,1580,41,
1581,1581,42,
1582,1582,46,
1583,1583,39,
1584,1584,54,
1585,1585,45,
1586,1586,40,
1587,1587,51,
1588,1588,45,
1589,1589,50,
1590,1590,45,
1591,1591,56,
1592,1592,32,
1593,1593,67,
1594,1594,45,
1595,1595,51,
1596,1596,47,
1597,1597,41,
1598,1598,47,
1599,1599,58,
1600,1600,46,
1601,1601,39,
1602,1602,36,
1603,1603,41,
1604,1604,43,
1605,1605,51,
